"TIME","GEO","SEX","UNIT","Value"
"2019W01","Belgium","Total","Number","2 308"
"2019W01","Belgium","Males","Number","1 125"
"2019W01","Belgium","Females","Number","1 183"
"2019W01","Bulgaria","Total","Number","2 533"
"2019W01","Bulgaria","Males","Number","1 311"
"2019W01","Bulgaria","Females","Number","1 222"
"2019W01","Czechia","Total","Number","2 321"
"2019W01","Czechia","Males","Number","1 187"
"2019W01","Czechia","Females","Number","1 134"
"2019W01","Denmark","Total","Number","1 130"
"2019W01","Denmark","Males","Number","537"
"2019W01","Denmark","Females","Number","593"
"2019W01","Germany (until 1990 former territory of the FRG)","Total","Number","18 686"
"2019W01","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W01","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W01","Estonia","Total","Number","351"
"2019W01","Estonia","Males","Number","184"
"2019W01","Estonia","Females","Number","167"
"2019W01","Greece","Total","Number","2 706"
"2019W01","Greece","Males","Number","1 395"
"2019W01","Greece","Females","Number","1 311"
"2019W01","Spain","Total","Number","9 127"
"2019W01","Spain","Males","Number","4 604"
"2019W01","Spain","Females","Number","4 523"
"2019W01","France","Total","Number","13 084"
"2019W01","France","Males","Number","6 527"
"2019W01","France","Females","Number","6 557"
"2019W01","Croatia","Total","Number","1 154"
"2019W01","Croatia","Males","Number","568"
"2019W01","Croatia","Females","Number","586"
"2019W01","Italy","Total","Number","14 168"
"2019W01","Italy","Males","Number","6 740"
"2019W01","Italy","Females","Number","7 428"
"2019W01","Cyprus","Total","Number","132"
"2019W01","Cyprus","Males","Number","67"
"2019W01","Cyprus","Females","Number","65"
"2019W01","Latvia","Total","Number","586"
"2019W01","Latvia","Males","Number","277"
"2019W01","Latvia","Females","Number","309"
"2019W01","Lithuania","Total","Number","842"
"2019W01","Lithuania","Males","Number","419"
"2019W01","Lithuania","Females","Number","423"
"2019W01","Luxembourg","Total","Number","98"
"2019W01","Luxembourg","Males","Number","53"
"2019W01","Luxembourg","Females","Number","45"
"2019W01","Hungary","Total","Number","3 054"
"2019W01","Hungary","Males","Number","1 419"
"2019W01","Hungary","Females","Number","1 635"
"2019W01","Malta","Total","Number","99"
"2019W01","Malta","Males","Number","40"
"2019W01","Malta","Females","Number","59"
"2019W01","Netherlands","Total","Number","3 064"
"2019W01","Netherlands","Males","Number","1 465"
"2019W01","Netherlands","Females","Number","1 599"
"2019W01","Austria","Total","Number","1 648"
"2019W01","Austria","Males","Number","734"
"2019W01","Austria","Females","Number","914"
"2019W01","Poland","Total","Number","8 668"
"2019W01","Poland","Males","Number","4 527"
"2019W01","Poland","Females","Number","4 141"
"2019W01","Portugal","Total","Number","2 621"
"2019W01","Portugal","Males","Number","1 301"
"2019W01","Portugal","Females","Number","1 320"
"2019W01","Romania","Total","Number","5 784"
"2019W01","Romania","Males","Number","3 007"
"2019W01","Romania","Females","Number","2 777"
"2019W01","Slovenia","Total","Number","469"
"2019W01","Slovenia","Males","Number","224"
"2019W01","Slovenia","Females","Number","245"
"2019W01","Slovakia","Total","Number","1 105"
"2019W01","Slovakia","Males","Number","596"
"2019W01","Slovakia","Females","Number","509"
"2019W01","Finland","Total","Number","1 214"
"2019W01","Finland","Males","Number","622"
"2019W01","Finland","Females","Number","592"
"2019W01","Sweden","Total","Number","1 943"
"2019W01","Sweden","Males","Number","960"
"2019W01","Sweden","Females","Number","983"
"2019W01","United Kingdom","Total","Number","12 387"
"2019W01","United Kingdom","Males","Number","5 845"
"2019W01","United Kingdom","Females","Number","6 542"
"2019W01","Iceland","Total","Number","39"
"2019W01","Iceland","Males","Number","26"
"2019W01","Iceland","Females","Number","13"
"2019W01","Liechtenstein","Total","Number","5"
"2019W01","Liechtenstein","Males","Number","2"
"2019W01","Liechtenstein","Females","Number","3"
"2019W01","Norway","Total","Number","872"
"2019W01","Norway","Males","Number","400"
"2019W01","Norway","Females","Number","472"
"2019W01","Switzerland","Total","Number","1 341"
"2019W01","Switzerland","Males","Number","625"
"2019W01","Switzerland","Females","Number","716"
"2019W01","Montenegro","Total","Number","141"
"2019W01","Montenegro","Males","Number","67"
"2019W01","Montenegro","Females","Number","74"
"2019W01","Albania","Total","Number","507"
"2019W01","Albania","Males","Number","275"
"2019W01","Albania","Females","Number","232"
"2019W01","Serbia","Total","Number","2 217"
"2019W01","Serbia","Males","Number","1 102"
"2019W01","Serbia","Females","Number","1 115"
"2019W01","Andorra","Total","Number","5"
"2019W01","Andorra","Males","Number","2"
"2019W01","Andorra","Females","Number","3"
"2019W01","Armenia","Total","Number","114"
"2019W01","Armenia","Males","Number","53"
"2019W01","Armenia","Females","Number","61"
"2019W01","Georgia","Total","Number","1 228"
"2019W01","Georgia","Males","Number","625"
"2019W01","Georgia","Females","Number","603"
"2019W02","Belgium","Total","Number","2 347"
"2019W02","Belgium","Males","Number","1 136"
"2019W02","Belgium","Females","Number","1 211"
"2019W02","Bulgaria","Total","Number","2 692"
"2019W02","Bulgaria","Males","Number","1 419"
"2019W02","Bulgaria","Females","Number","1 273"
"2019W02","Czechia","Total","Number","2 290"
"2019W02","Czechia","Males","Number","1 123"
"2019W02","Czechia","Females","Number","1 167"
"2019W02","Denmark","Total","Number","1 155"
"2019W02","Denmark","Males","Number","595"
"2019W02","Denmark","Females","Number","560"
"2019W02","Germany (until 1990 former territory of the FRG)","Total","Number","19 170"
"2019W02","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W02","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W02","Estonia","Total","Number","338"
"2019W02","Estonia","Males","Number","160"
"2019W02","Estonia","Females","Number","178"
"2019W02","Greece","Total","Number","3 105"
"2019W02","Greece","Males","Number","1 529"
"2019W02","Greece","Females","Number","1 576"
"2019W02","Spain","Total","Number","10 025"
"2019W02","Spain","Males","Number","5 007"
"2019W02","Spain","Females","Number","5 018"
"2019W02","France","Total","Number","13 610"
"2019W02","France","Males","Number","6 731"
"2019W02","France","Females","Number","6 879"
